2019-01-16 09:38:59,218 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.thaiane:desafio:0.0.1-SNAPSHOT @ C:\Users\thaiane.o.jesus\Desktop\projeto-uol\test-backEnd-Java\desafio\pom.xml.
2019-01-16 09:39:00,488 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /desafio/src/main/java
2019-01-16 09:39:00,498 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /desafio/src/main/resources
2019-01-16 09:39:00,498 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /desafio/src/test/java
2019-01-16 09:39:00,498 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /desafio/src/test/resources
2019-01-16 09:39:03,220 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:03,230 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:03,250 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:03,250 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:17,034 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:17,034 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:17,034 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:17,034 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:27,991 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:28,002 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:28,002 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:28,002 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:29,702 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:29,702 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:29,702 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:29,710 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:30,727 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:30,742 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:30,742 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:30,742 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:33,175 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:33,190 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 09:39:33,206 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 09:39:33,206 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:18:29,754 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:18:29,764 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:18:29,764 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:18:29,764 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:18:42,500 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:18:42,502 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:18:42,509 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:18:42,514 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:18:43,576 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:18:43,578 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:18:43,579 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 10:18:43,581 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-16 10:19:28,755 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
